epoch,mean_gini,ema_gini,balance_loss_coeff,layers,routing_observations,layer_gini
63,0.1504494734108448,0.150587427342396,0.9053691004228337,4,512.0,"{""model.12"": 0.07552096992731094, ""model.3"": 0.3739382326602936, ""model.6"": 0.08585960417985916, ""model.9"": 0.06647908687591553}"
64,0.15045071579515934,0.15056008503294865,0.9053443458791506,4,512.0,"{""model.12"": 0.07550700753927231, ""model.3"": 0.3739511966705322, ""model.6"": 0.0858597531914711, ""model.9"": 0.06648490577936172}"
65,0.1504607554525137,0.15054021911686166,0.9053263605629934,4,512.0,"{""model.12"": 0.07549675554037094, ""model.3"": 0.3740053176879883, ""model.6"": 0.08585429191589355, ""model.9"": 0.066486656665802}"
66,0.15033940225839615,0.15050005574516856,0.9052900003340502,4,512.0,"{""model.12"": 0.07548987865447998, ""model.3"": 0.37353482842445374, ""model.6"": 0.08584729582071304, ""model.9"": 0.06648560613393784}"
67,0.15029769018292427,0.1504595826327197,0.9052533611715233,4,512.0,"{""model.12"": 0.0754874125123024, ""model.3"": 0.37336793541908264, ""model.6"": 0.08585033565759659, ""model.9"": 0.06648507714271545}"
68,0.15035505406558514,0.15043867691929277,0.9052344364019945,4,512.0,"{""model.12"": 0.07548751682043076, ""model.3"": 0.37359848618507385, ""model.6"": 0.0858454704284668, ""model.9"": 0.06648874282836914}"
69,0.15029379539191723,0.15040970061381767,0.9052082064324644,4,512.0,"{""model.12"": 0.07549235969781876, ""model.3"": 0.3733569383621216, ""model.6"": 0.08583257347345352, ""model.9"": 0.06649331003427505}"
70,0.15024956688284874,0.15037767386762388,0.9051792160232212,4,512.0,"{""model.12"": 0.07549699395895004, ""model.3"": 0.3731834590435028, ""model.6"": 0.08581996709108353, ""model.9"": 0.06649784743785858}"
71,0.15033893659710884,0.15036992641352087,0.9051722032159557,4,512.0,"{""model.12"": 0.0755055770277977, ""model.3"": 0.3735426366329193, ""model.6"": 0.08580436557531357, ""model.9"": 0.06650316715240479}"
72,0.1502049695700407,0.15033693504482484,0.9051423408386691,4,512.0,"{""model.12"": 0.07551515102386475, ""model.3"": 0.3730052411556244, ""model.6"": 0.0857955813407898, ""model.9"": 0.06650390475988388}"
73,0.1502624060958624,0.15032202925503235,0.9051288490777573,4,512.0,"{""model.12"": 0.07552391290664673, ""model.3"": 0.373241662979126, ""model.6"": 0.08578068017959595, ""model.9"": 0.0665033683180809}"
74,0.1502258200198412,0.15030278740799413,0.9051114328944537,4,512.0,"{""model.12"": 0.07551983743906021, ""model.3"": 0.37310174107551575, ""model.6"": 0.0857800617814064, ""model.9"": 0.06650163978338242}"
75,0.15024331770837307,0.15029089346806992,0.905100667617467,4,512.0,"{""model.12"": 0.07551787048578262, ""model.3"": 0.3731797933578491, ""model.6"": 0.08577760308980942, ""model.9"": 0.06649800390005112}"
76,0.15016011707484722,0.15026473818942537,0.9050769947668905,4,512.0,"{""model.12"": 0.07552146911621094, ""model.3"": 0.3728555738925934, ""model.6"": 0.08577167987823486, ""model.9"": 0.0664917454123497}"
77,0.15016952343285084,0.15024569523811046,0.9050597595938477,4,512.0,"{""model.12"": 0.07552871853113174, ""model.3"": 0.37289926409721375, ""model.6"": 0.08576500415802002, ""model.9"": 0.06648510694503784}"
78,0.1501758787781,0.15023173194610837,0.905047122068376,4,512.0,"{""model.12"": 0.07553068548440933, ""model.3"": 0.3729373812675476, ""model.6"": 0.0857563391327858, ""model.9"": 0.06647910922765732}"
79,0.1500419545918703,0.15019377647526075,0.905012771230624,4,512.0,"{""model.12"": 0.07554040104150772, ""model.3"": 0.37240710854530334, ""model.6"": 0.08574632555246353, ""model.9"": 0.06647398322820663}"
80,0.15002157352864742,0.15015933588593808,0.9049816025941744,4,512.0,"{""model.12"": 0.07554984092712402, ""model.3"": 0.3723325729370117, ""model.6"": 0.08573532104492188, ""model.9"": 0.06646855920553207}"
81,0.15009047463536263,0.150145563635823,0.9049691390470196,4,512.0,"{""model.12"": 0.0755510926246643, ""model.3"": 0.37262651324272156, ""model.6"": 0.08572282642126083, ""model.9"": 0.0664614662528038}"
82,0.1501082442700863,0.15013809976267564,0.9049623844973711,4,512.0,"{""model.12"": 0.07555238157510757, ""model.3"": 0.37270984053611755, ""model.6"": 0.08571658283472061, ""model.9"": 0.06645417213439941}"
83,0.1500296052545309,0.1501164008610467,0.9049427480206578,4,512.0,"{""model.12"": 0.07555858045816422, ""model.3"": 0.3724052608013153, ""model.6"": 0.08570931106805801, ""model.9"": 0.06644526869058609}"
84,0.1500222496688366,0.15009757062260468,0.9049257078933715,4,512.0,"{""model.12"": 0.07556214183568954, ""model.3"": 0.37238609790802, ""model.6"": 0.08570440858602524, ""model.9"": 0.06643635034561157}"
85,0.14996385388076305,0.15007082727423635,0.9049015074735194,4,512.0,"{""model.12"": 0.07556060701608658, ""model.3"": 0.372164249420166, ""model.6"": 0.08570132404565811, ""model.9"": 0.06642923504114151}"
86,0.14993165619671345,0.15004299305873176,0.9048763206004801,4,512.0,"{""model.12"": 0.07555776834487915, ""model.3"": 0.37204912304878235, ""model.6"": 0.08569566160440445, ""model.9"": 0.06642407178878784}"
87,0.14997226558625698,0.1500288475642368,0.9048635207679985,4,512.0,"{""model.12"": 0.07555633783340454, ""model.3"": 0.3722188472747803, ""model.6"": 0.08569403737783432, ""model.9"": 0.06641983985900879}"
88,0.14996520429849625,0.15001611891108868,0.9048520031473983,4,512.0,"{""model.12"": 0.07555478811264038, ""model.3"": 0.3722001612186432, ""model.6"": 0.08568760007619858, ""model.9"": 0.06641826778650284}"
89,0.1499229036271572,0.1499974758543024,0.9048351340973663,4,512.0,"{""model.12"": 0.07554858922958374, ""model.3"": 0.37204065918922424, ""model.6"": 0.08568475395441055, ""model.9"": 0.06641761213541031}"
90,0.14998295530676842,0.14999457174479558,0.9048325063608669,4,512.0,"{""model.12"": 0.07554296404123306, ""model.3"": 0.37228497862815857, ""model.6"": 0.08568594604730606, ""model.9"": 0.06641793251037598}"
